strategy,w_STD,w_region,w_boundary,mean_STD_retention,mean_region_B_coverage,mean_specialization,mean_overlap,mean_runtime,mean_score
vehicle_specific_6040,0.6,0.4,0.0,0.8404389667647084,0.12130581101307064,0.7106738752788968,0.00395138241065749,555.738953669866,0.6124642793911483
vehicle_specific_5050,0.5,0.5,0.0,0.8081442335196897,0.12179687194191133,0.7387759751743741,0.004744217907632021,493.76358331574335,0.6095684984897631
vehicle_specific_2575,0.25,0.75,0.0,0.7903677015748637,0.11678027693861075,0.7182997200224135,0.0045159592374320184,320.17158092392816,0.5982499603796275
vehicle_specific_7030,0.7,0.3,0.0,0.8884240737809962,0.11671475187615196,0.5642808506058322,0.027956373873993037,557.5899450778961,0.5855918449880702
vehicle_specific_00100,0.0,1.0,0.0,0.6072094080555689,0.07926290773074322,0.6828169690238105,0.0022878294758615263,141.3939549393124,0.5309849981988174
vehicle_specific_8020,0.8,0.2,0.0,1.0219412811917428,0.09690392068549353,0.34325853486855823,0.1076714953183185,559.3509364922842,0.5124785301711087
vehicle_specific_9010,0.9,0.1,0.0,1.0754647187616526,0.08120133021178642,0.28766895323577857,0.1557703139984255,597.8420900238884,0.4983859077357055
role_swap_of_vehicle_specific_6040,0.6,0.4,0.0,0.8475846734593832,0.15122269207253217,0.0,0.004590247060904778,561.0014354387919,0.48232706515006857
baseline_shared_STD,1.0,0.0,0.0,1.0,0.07247462394104634,0.16446980254517662,0.0040152478091101335,325.3367008103265,0.4728847937069996
role_swap_of_vehicle_specific_7030,0.7,0.3,0.0,0.8558234371504136,0.037378161818833515,0.0,0.011656821439430136,502.9090597629547,0.4575177548960508
role_swap_of_vehicle_specific_5050,0.5,0.5,0.0,0.7799722189460311,0.10044977511244378,0.0,0.0016420361247947454,441.29193902015686,0.45597603027709305
