mission_duration_requested_h,strategy,mean_solver_runtime,max_solver_runtime,fleet_rows
12.0,baseline_shared_STD,1201.0105464161995,1288.429771900177,3
12.0,role_swap_of_vehicle_specific_2575,3101.7151431000093,3101.7151431000093,1
12.0,role_swap_of_vehicle_specific_6040,2739.4581715000386,2739.4581715000386,1
12.0,role_swap_of_vehicle_specific_7030,2249.271994800016,2249.271994800016,1
12.0,vehicle_specific_00100,179.9313985532984,281.3266421999724,3
12.0,vehicle_specific_2575,1944.7296848685266,3272.3813339000044,3
12.0,vehicle_specific_5050,2610.5202707845797,3330.2918248000205,3
12.0,vehicle_specific_6040,2889.6574097157377,3442.005318700016,3
12.0,vehicle_specific_7030,2786.78468932842,3337.422007999994,3
12.0,vehicle_specific_8020,2710.696667589713,3324.691735500004,3
12.0,vehicle_specific_9010,2738.7691598436795,3300.2549707000144,3
