run_id,strategy,base_strategy,case_id,vehicle_id,mission_duration_requested_h,solver_status,solver_runtime,collected_STD,collected_region_A,collected_region_B,collected_boundary,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
C01_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C01_representative,1,12.0,REUSED,1097.4673285484314,87.8917465209961,0.0,55.0,87.17906188964844,0.0,0.3767123222351074,0.08219178020954132,0,1,37.723,10.95,146
C01_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C01_representative,2,12.0,REUSED,1097.4673285484314,99.24979400634766,0.0,0.0,131.89898681640625,0.0,0.0,0.09259258955717087,0,0,37.139,10.733333333333333,162
C01_representative__proxy_12h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,vehicle_specific_9010,C01_representative,1,12.0,REUSED,1476.2983956336975,98.33307647705078,0.0,22.0,113.59583282470703,0.0,0.13664595782756805,0.1677018702030182,0,1,38.535,11.183333333333334,161
C01_representative__proxy_12h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,vehicle_specific_9010,C01_representative,2,12.0,REUSED,1440.8089487552643,89.73335266113281,0.0,57.0,82.77326965332031,0.0,0.3877550959587097,0.0,0,1,37.833,10.95,147
C01_representative__proxy_12h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,vehicle_specific_8020,C01_representative,1,12.0,REUSED,1764.9642276763916,102.16972351074219,0.0,11.0,113.63532257080078,0.0,0.06666667014360428,0.08484848588705063,0,1,38.445,11.1,165
C01_representative__proxy_12h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,vehicle_specific_8020,C01_representative,2,12.0,REUSED,1144.0053100585938,90.8150405883789,0.0,92.0,76.44744873046875,0.0,0.5822784900665283,0.0,0,1,36.287,10.416666666666666,158
C01_representative__proxy_12h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,vehicle_specific_7030,C01_representative,1,12.0,REUSED,1231.1028561592102,77.879638671875,52.0,0.0,126.54757690429688,0.33986929059028625,0.0,0.026143791154026985,0,1,36.993,10.683333333333334,153
C01_representative__proxy_12h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,vehicle_specific_7030,C01_representative,2,12.0,REUSED,1257.1050894260406,88.82560729980469,0.0,88.0,80.10212707519531,0.0,0.5641025900840759,0.0,0,1,36.314,10.483333333333333,156
C01_representative__proxy_12h__vehicle_specific_6040__AUV1_region_A,vehicle_specific_6040,vehicle_specific_6040,C01_representative,1,12.0,REUSED,1248.5060391426086,66.90365600585938,97.0,0.0,138.73455810546875,0.5914633870124817,0.0,0.0,0,1,36.952,10.616666666666667,164
C01_representative__proxy_12h__vehicle_specific_6040__AUV2_region_B,vehicle_specific_6040,vehicle_specific_6040,C01_representative,2,12.0,REUSED,926.7758882045746,86.44239807128906,0.0,90.0,75.83663940429688,0.0,0.5960264801979065,0.0,0,1,37.039,10.683333333333334,151
C01_representative__proxy_12h__vehicle_specific_5050__AUV1_region_A,vehicle_specific_5050,vehicle_specific_5050,C01_representative,1,12.0,REUSED,999.0087406635284,64.11299896240234,96.0,0.0,134.99606323242188,0.5925925970077515,0.0,0.0,0,1,36.674,10.566666666666666,162
C01_representative__proxy_12h__vehicle_specific_5050__AUV2_region_B,vehicle_specific_5050,vehicle_specific_5050,C01_representative,2,12.0,REUSED,846.5438129901886,89.89761352539062,0.0,89.0,77.46311950683594,0.0,0.5668789744377136,0.0,0,1,37.508,10.7,157
C01_representative__proxy_12h__vehicle_specific_2575__AUV1_region_A,vehicle_specific_2575,vehicle_specific_2575,C01_representative,1,12.0,REUSED,626.8918209075928,60.570030212402344,99.0,0.0,125.25813293457031,0.6644295454025269,0.0,0.0,0,1,36.148,10.366666666666667,149
C01_representative__proxy_12h__vehicle_specific_2575__AUV2_region_B,vehicle_specific_2575,vehicle_specific_2575,C01_representative,2,12.0,REUSED,525.3783411979675,83.63449096679688,0.0,86.0,73.87809753417969,0.0,0.5850340127944946,0.0,0,1,37.684,10.766666666666667,147
C06_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C06_representative,1,12.0,REUSED,1288.429771900177,77.37188720703125,48.0,0.0,114.8089599609375,0.31578946113586426,0.0,0.019736841320991516,0,1,36.118,10.4,152
C06_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C06_representative,2,12.0,REUSED,1288.429771900177,80.95484924316406,14.0,0.0,121.46939849853516,0.08974359184503555,0.0,0.30128204822540283,0,1,37.219,10.7,156
C01_representative__proxy_12h__vehicle_specific_00100__AUV1_region_A,vehicle_specific_00100,vehicle_specific_00100,C01_representative,1,12.0,REUSED,111.66580629348755,55.08293914794922,84.0,0.0,123.59848022460938,0.5753424763679504,0.0,0.0,0,1,36.42,10.283333333333333,146
