route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,76.069,109.97795
1,1,39.58321,-9.298139,117.53856,76.069,109.97795
1,2,39.604317,-9.335565,304.19208,76.069,109.97795
1,3,39.612232,-9.34893,418.17865,76.069,109.97795
1,4,39.622784,-9.354278,467.2612,76.069,109.97795
1,5,39.617508,-9.36497,510.31744,76.069,109.97795
1,6,39.62806,-9.37299,571.2401,76.069,109.97795
1,7,39.64125,-9.37299,551.7429,76.069,109.97795
1,8,39.6307,-9.346257,444.43076,76.069,109.97795
1,9,39.646526,-9.340911,362.01627,76.069,109.97795
1,10,39.667633,-9.343584,199.67592,76.069,109.97795
1,11,39.664997,-9.356951,234.64201,76.069,109.97795
1,12,39.67555,-9.362297,207.09012,76.069,109.97795
1,13,39.680824,-9.375663,208.00974,76.069,109.97795
1,14,39.67555,-9.386356,247.61267,76.069,109.97795
1,15,39.662357,-9.3890295,342.85968,76.069,109.97795
1,16,39.65444,-9.397049,428.9583,76.069,109.97795
1,17,39.646526,-9.386356,544.83875,76.069,109.97795
1,18,39.635975,-9.383683,638.75745,76.069,109.97795
1,19,39.625423,-9.3890295,642.14166,76.069,109.97795
1,20,39.61487,-9.383683,600.98956,76.069,109.97795
1,21,39.612232,-9.397049,649.48755,76.069,109.97795
1,22,39.63334,-9.413089,609.5741,76.069,109.97795
1,23,39.638615,-9.399722,621.2001,76.069,109.97795
1,24,39.646526,-9.4077425,501.60507,76.069,109.97795
1,25,39.651806,-9.421108,390.96692,76.069,109.97795
1,26,39.64125,-9.4264555,461.67255,76.069,109.97795
1,27,39.6307,-9.4264555,535.69366,76.069,109.97795
1,28,39.622784,-9.418435,640.5441,76.069,109.97795
1,29,39.612232,-9.423781,662.56366,76.069,109.97795
1,30,39.59904,-9.423781,662.5977,76.069,109.97795
1,31,39.591125,-9.415762,652.28186,76.069,109.97795
1,32,39.580574,-9.421108,626.59595,76.069,109.97795
1,33,39.567383,-9.423781,568.33563,76.069,109.97795
1,34,39.559467,-9.415762,463.41748,76.069,109.97795
1,35,39.559467,-9.402396,348.21005,76.069,109.97795
1,36,39.548916,-9.397049,250.8127,76.069,109.97795
1,37,39.55683,-9.3890295,222.4427,76.069,109.97795
1,38,39.567383,-9.3890295,264.68234,76.069,109.97795
1,39,39.57266,-9.378337,237.41592,76.069,109.97795
1,40,39.58321,-9.38101,289.6987,76.069,109.97795
1,41,39.57002,-9.402396,405.262,76.069,109.97795
1,42,39.580574,-9.4077425,520.24677,76.069,109.97795
1,43,39.604317,-9.383683,529.24365,76.069,109.97795
1,44,39.606956,-9.3703165,489.22522,76.069,109.97795
1,45,39.593765,-9.37299,363.47772,76.069,109.97795
1,46,39.57266,-9.362297,173.20686,76.069,109.97795
1,47,39.562107,-9.343584,132.00006,76.069,109.97795
1,48,39.5753,-9.308832,118.38546,76.069,109.97795
1,49,39.57002,-9.295465,109.97795,76.069,109.97795
1,50,39.571243,-9.294229,110.0299,76.069,109.97795
