route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,36.352,110.0299
1,1,39.564743,-9.38101,221.18224,36.352,110.0299
1,2,39.5753,-9.378337,245.89514,36.352,110.0299
1,3,39.617508,-9.356951,469.6927,36.352,110.0299
1,4,39.649166,-9.332891,310.9374,36.352,110.0299
1,5,39.667633,-9.346257,204.04129,36.352,110.0299
1,6,39.680824,-9.330218,161.71957,36.352,110.0299
1,7,39.67819,-9.311505,180.94371,36.352,110.0299
1,8,39.659718,-9.324871,236.23653,36.352,110.0299
1,9,39.57439,-9.293431,110.0299,36.352,110.0299
