route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,153.629,108.26113
1,1,39.5753,-9.287446,109.17381,153.629,108.26113
1,2,39.58585,-9.279426,114.53341,153.629,108.26113
1,3,39.5964,-9.276752,128.31947,153.629,108.26113
1,4,39.606956,-9.279426,148.18355,153.629,108.26113
1,5,39.649166,-9.306158,301.49963,153.629,108.26113
1,6,39.659718,-9.300812,260.59683,153.629,108.26113
1,7,39.662357,-9.314178,229.75081,153.629,108.26113
1,8,39.65708,-9.324871,254.00418,153.629,108.26113
1,9,39.670273,-9.324871,186.4201,153.629,108.26113
1,10,39.664997,-9.343584,210.47603,153.629,108.26113
1,11,39.67819,-9.356951,192.18991,153.629,108.26113
1,12,39.68874,-9.362297,166.38603,153.629,108.26113
1,13,39.694016,-9.375663,155.64745,153.629,108.26113
1,14,39.6861,-9.383683,193.5508,153.629,108.26113
1,15,39.670273,-9.367643,234.50127,153.629,108.26113
1,16,39.65708,-9.36497,339.8282,153.629,108.26113
1,17,39.664997,-9.356951,234.64201,153.629,108.26113
1,18,39.65444,-9.3516035,326.98984,153.629,108.26113
1,19,39.64389,-9.338238,373.19315,153.629,108.26113
1,20,39.635975,-9.34893,468.7818,153.629,108.26113
1,21,39.625423,-9.34893,446.2915,153.629,108.26113
1,22,39.625423,-9.362297,512.5868,153.629,108.26113
1,23,39.61487,-9.367643,518.7906,153.629,108.26113
1,24,39.60168,-9.36497,406.82697,153.629,108.26113
1,25,39.593765,-9.37299,363.47772,153.629,108.26113
1,26,39.58321,-9.37299,251.93758,153.629,108.26113
1,27,39.580574,-9.386356,299.45068,153.629,108.26113
1,28,39.567383,-9.383683,239.86378,153.629,108.26113
1,29,39.548916,-9.397049,250.8127,153.629,108.26113
1,30,39.53836,-9.399722,211.04091,153.629,108.26113
1,31,39.533085,-9.415762,232.85522,153.629,108.26113
1,32,39.54364,-9.4264555,402.01453,153.629,108.26113
1,33,39.548916,-9.413089,359.8337,153.629,108.26113
1,34,39.57002,-9.405069,431.26596,153.629,108.26113
1,35,39.562107,-9.423781,541.31256,153.629,108.26113
1,36,39.57266,-9.418435,567.6585,153.629,108.26113
1,37,39.59904,-9.423781,662.5977,153.629,108.26113
1,38,39.593765,-9.413089,640.41223,153.629,108.26113
1,39,39.59904,-9.399722,573.2143,153.629,108.26113
1,40,39.58849,-9.399722,490.39313,153.629,108.26113
1,41,39.591125,-9.386356,400.34555,153.629,108.26113
1,42,39.60168,-9.38101,487.43866,153.629,108.26113
1,43,39.606956,-9.391703,597.2981,153.629,108.26113
1,44,39.612232,-9.38101,582.49646,153.629,108.26113
1,45,39.622784,-9.383683,615.1525,153.629,108.26113
1,46,39.635975,-9.362297,533.78265,153.629,108.26113
1,47,39.646526,-9.3703165,478.599,153.629,108.26113
1,48,39.638615,-9.38101,621.5525,153.629,108.26113
1,49,39.649166,-9.383683,500.24118,153.629,108.26113
1,50,39.659718,-9.38101,358.10275,153.629,108.26113
1,51,39.67291,-9.386356,260.53363,153.629,108.26113
1,52,39.67819,-9.397049,228.89815,153.629,108.26113
1,53,39.65444,-9.394376,434.72406,153.629,108.26113
1,54,39.65444,-9.4077425,405.89542,153.629,108.26113
1,55,39.64125,-9.410416,557.81573,153.629,108.26113
1,56,39.638615,-9.394376,637.1236,153.629,108.26113
1,57,39.6307,-9.402396,634.15936,153.629,108.26113
1,58,39.620148,-9.397049,645.65497,153.629,108.26113
1,59,39.622784,-9.410416,654.7551,153.629,108.26113
1,60,39.612232,-9.415762,713.18726,153.629,108.26113
1,61,39.609592,-9.429129,640.8939,153.629,108.26113
1,62,39.6307,-9.4264555,535.69366,153.629,108.26113
1,63,39.651806,-9.421108,390.96692,153.629,108.26113
1,64,39.659718,-9.429129,277.63107,153.629,108.26113
1,65,39.670273,-9.429129,212.83934,153.629,108.26113
1,66,39.670273,-9.415762,240.02336,153.629,108.26113
1,67,39.680824,-9.410416,206.10754,153.629,108.26113
1,68,39.680824,-9.423781,192.75381,153.629,108.26113
1,69,39.709846,-9.423781,148.89345,153.629,108.26113
1,70,39.720398,-9.421108,144.33723,153.629,108.26113
1,71,39.715122,-9.410416,145.78172,153.629,108.26113
1,72,39.720398,-9.399722,142.16122,153.629,108.26113
1,73,39.720398,-9.383683,140.522,153.629,108.26113
1,74,39.707207,-9.394376,150.20924,153.629,108.26113
1,75,39.70193,-9.405069,152.79472,153.629,108.26113
1,76,39.694016,-9.397049,158.34636,153.629,108.26113
1,77,39.704567,-9.37299,148.52129,153.629,108.26113
1,78,39.720398,-9.3703165,138.78917,153.629,108.26113
1,79,39.715122,-9.359624,139.98685,153.629,108.26113
1,80,39.71776,-9.343584,135.884,153.629,108.26113
1,81,39.707207,-9.346257,140.18333,153.629,108.26113
1,82,39.69929,-9.354278,145.89084,153.629,108.26113
1,83,39.683464,-9.338238,160.96733,153.629,108.26113
1,84,39.694016,-9.332891,139.56914,153.629,108.26113
1,85,39.6861,-9.322198,155.59184,153.629,108.26113
1,86,39.70193,-9.324871,137.34625,153.629,108.26113
1,87,39.709846,-9.332891,135.86615,153.629,108.26113
1,88,39.71776,-9.322198,132.83339,153.629,108.26113
1,89,39.709846,-9.314178,134.47635,153.629,108.26113
1,90,39.71776,-9.303485,130.95618,153.629,108.26113
1,91,39.712482,-9.287446,135.52847,153.629,108.26113
1,92,39.70193,-9.287446,144.39818,153.629,108.26113
1,93,39.691376,-9.292792,156.60172,153.629,108.26113
1,94,39.69929,-9.300812,139.678,153.629,108.26113
1,95,39.694016,-9.311505,139.50977,153.629,108.26113
1,96,39.683464,-9.306158,169.52184,153.629,108.26113
1,97,39.67291,-9.303485,205.29138,153.629,108.26113
1,98,39.67819,-9.292792,209.93056,153.629,108.26113
1,99,39.664997,-9.290119,270.25095,153.629,108.26113
1,100,39.65444,-9.282099,309.2728,153.629,108.26113
1,101,39.62806,-9.279426,267.637,153.629,108.26113
1,102,39.57443,-9.292365,110.0299,153.629,108.26113
