route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,38.214,110.0299
1,1,39.58585,-9.332891,168.6547,38.214,110.0299
1,2,39.580574,-9.346257,161.71019,38.214,110.0299
1,3,39.591125,-9.3516035,251.93217,38.214,110.0299
1,4,39.5964,-9.340911,265.64053,38.214,110.0299
1,5,39.609592,-9.338238,354.8769,38.214,110.0299
1,6,39.63334,-9.346257,450.11676,38.214,110.0299
1,7,39.64389,-9.343584,395.51752,38.214,110.0299
1,8,39.65444,-9.34893,318.99216,38.214,110.0299
1,9,39.67819,-9.378337,222.77757,38.214,110.0299
1,10,39.68874,-9.3703165,171.92664,38.214,110.0299
1,11,39.704567,-9.354278,143.56584,38.214,110.0299
1,12,39.67291,-9.354278,203.14722,38.214,110.0299
1,13,39.65444,-9.324871,271.77182,38.214,110.0299
1,14,39.64389,-9.330218,347.4218,38.214,110.0299
1,15,39.620148,-9.327544,335.89948,38.214,110.0299
1,16,39.58321,-9.306158,121.61397,38.214,110.0299
1,17,39.577934,-9.295465,112.87882,38.214,110.0299
1,18,39.574333,-9.293642,110.0299,38.214,110.0299
