route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,37.405,60.37682
1,1,39.548916,-9.258039,85.47472,37.405,60.37682
1,2,39.567383,-9.23398,82.9697,37.405,60.37682
1,3,39.57002,-9.220614,77.063354,37.405,60.37682
1,4,39.559467,-9.217941,69.59827,37.405,60.37682
1,5,39.559467,-9.204575,60.4724,37.405,60.37682
1,6,39.57002,-9.199228,63.923065,37.405,60.37682
1,7,39.577934,-9.209921,75.271065,37.405,60.37682
1,8,39.58849,-9.204575,80.75687,37.405,60.37682
1,9,39.58321,-9.191209,69.19303,37.405,60.37682
1,10,39.6307,-9.185862,154.28223,37.405,60.37682
1,11,39.64125,-9.191209,181.56805,37.405,60.37682
1,12,39.635975,-9.201901,177.57468,37.405,60.37682
1,13,39.625423,-9.204575,147.21465,37.405,60.37682
1,14,39.6307,-9.217941,170.03732,37.405,60.37682
1,15,39.620148,-9.220614,134.60611,37.405,60.37682
1,16,39.609592,-9.212595,99.99531,37.405,60.37682
1,17,39.59904,-9.220614,93.43381,37.405,60.37682
1,18,39.577934,-9.231307,86.75405,37.405,60.37682
1,19,39.57266,-9.274079,103.45829,37.405,60.37682
1,20,39.57266,-9.290464,110.0299,37.405,60.37682
