route_id,waypoint_order,lat,lon,depth_m,route_length_km,route_minimum_depth_m
1,0,39.57266,-9.292792,110.0299,75.945,110.0299
1,1,39.60168,-9.322198,237.79222,75.945,110.0299
1,2,39.61487,-9.335565,356.3693,75.945,110.0299
1,3,39.62806,-9.335565,386.06754,75.945,110.0299
1,4,39.64389,-9.343584,395.51752,75.945,110.0299
1,5,39.651806,-9.367643,407.96075,75.945,110.0299
1,6,39.662357,-9.36497,281.48276,75.945,110.0299
1,7,39.670273,-9.37299,245.6308,75.945,110.0299
1,8,39.67819,-9.36497,202.92068,75.945,110.0299
1,9,39.67291,-9.354278,203.14722,75.945,110.0299
1,10,39.662357,-9.3516035,250.47917,75.945,110.0299
1,11,39.664997,-9.338238,200.80963,75.945,110.0299
1,12,39.696655,-9.332891,138.95198,75.945,110.0299
1,13,39.709846,-9.327544,135.42413,75.945,110.0299
1,14,39.71776,-9.335565,134.482,75.945,110.0299
1,15,39.696655,-9.346257,144.01534,75.945,110.0299
1,16,39.704567,-9.354278,143.56584,75.945,110.0299
1,17,39.680824,-9.378337,211.44998,75.945,110.0299
1,18,39.691376,-9.383683,168.77112,75.945,110.0299
1,19,39.70193,-9.378337,151.51025,75.945,110.0299
1,20,39.709846,-9.386356,148.17072,75.945,110.0299
1,21,39.70193,-9.410416,152.37973,75.945,110.0299
1,22,39.691376,-9.415762,163.61137,75.945,110.0299
1,23,39.680824,-9.391703,221.12317,75.945,110.0299
1,24,39.65708,-9.405069,379.3919,75.945,110.0299
1,25,39.64389,-9.397049,562.4273,75.945,110.0299
1,26,39.63334,-9.402396,629.3696,75.945,110.0299
1,27,39.62806,-9.391703,644.6958,75.945,110.0299
1,28,39.620148,-9.383683,610.4315,75.945,110.0299
1,29,39.609592,-9.378337,558.38556,75.945,110.0299
1,30,39.609592,-9.391703,623.43005,75.945,110.0299
1,31,39.604317,-9.402396,629.1111,75.945,110.0299
1,32,39.593765,-9.405069,575.24713,75.945,110.0299
1,33,39.58321,-9.402396,477.93973,75.945,110.0299
1,34,39.5753,-9.391703,323.84723,75.945,110.0299
1,35,39.567383,-9.399722,365.7357,75.945,110.0299
1,36,39.55419,-9.418435,450.22488,75.945,110.0299
1,37,39.54364,-9.415762,329.62097,75.945,110.0299
1,38,39.541,-9.399722,225.5264,75.945,110.0299
1,39,39.533085,-9.391703,156.67728,75.945,110.0299
1,40,39.53836,-9.38101,149.45534,75.945,110.0299
1,41,39.548916,-9.378337,167.52615,75.945,110.0299
1,42,39.559467,-9.37299,178.60858,75.945,110.0299
1,43,39.562107,-9.359624,144.30144,75.945,110.0299
1,44,39.58321,-9.354278,183.175,75.945,110.0299
1,45,39.58321,-9.338238,158.99599,75.945,110.0299
1,46,39.573177,-9.295022,110.0299,75.945,110.0299
