mission_duration_requested_h,strategy,mean_fleet_STD,mean_region_B_coverage,mean_specialization,mean_runtime,success_rate
12.0,baseline_shared_STD,175.39240264892578,0.027612264990041397,0.18395025034745535,288.5174970626831,1.0
12.0,role_swap_of_vehicle_specific_7030,145.10585021972656,0.03509166623486902,0.0,671.9611383947922,1.0
12.0,role_swap_of_vehicle_specific_7030_penalty_both,180.01522064208984,0.07458770614692653,0.3201219439506531,630.4873154999805,1.0
12.0,vehicle_specific_7030,144.92379760742188,0.035888197280017624,0.5642686734596888,535.1820725599924,1.0
12.0,vehicle_specific_7030_penalty_both,154.34638214111328,0.021580362346675847,0.4432295113801956,584.7964430999806,1.0
12.0,vehicle_specific_8020,174.05370585123697,0.036359819233485226,0.2826281239589055,536.4831786155701,1.0
12.0,vehicle_specific_8020_penalty_both,169.5504404703776,0.043500636142939676,0.27698933084805805,588.140760366669,1.0
12.0,vehicle_specific_9010,179.34123738606772,0.032717681433490624,0.25788306693236035,565.0345976352692,1.0
12.0,vehicle_specific_9010_penalty_both,177.638552347819,0.036019907783897256,0.24182066321372986,604.265597800016,1.0
24.0,baseline_shared_STD,348.12371317545575,0.06564905208064348,0.21488416194915771,307.0126286347707,1.0
24.0,role_swap_of_vehicle_specific_7030,290.2742004394531,0.1020445354333151,0.0,707.8566626000247,1.0
24.0,role_swap_of_vehicle_specific_7030_penalty_both,321.6481018066406,0.11881559220389805,0.0,566.8206470999867,1.0
24.0,vehicle_specific_7030,299.2632700602214,0.10900920053375429,0.6346570700407028,543.8987975120544,1.0
24.0,vehicle_specific_7030_penalty_both,319.5909118652344,0.08235085845930734,0.48547669500112534,587.1016045333332,1.0
24.0,vehicle_specific_8020,344.92173258463544,0.09741003535103386,0.40820882345239323,556.0145206451416,1.0
24.0,vehicle_specific_8020_penalty_both,338.6626892089844,0.10480514117227818,0.42297741149862605,645.1347286999808,1.0
24.0,vehicle_specific_9010,364.94565836588544,0.07557275346902384,0.3362692395846049,584.3369963963827,1.0
24.0,vehicle_specific_9010_penalty_both,354.1648254394531,0.08510547639633483,0.35982072353363037,670.6873320333447,1.0
48.0,baseline_shared_STD,615.960693359375,0.12416255475245412,0.09457499533891678,380.4799767335256,1.0
48.0,role_swap_of_vehicle_specific_7030_penalty_both,580.4837290445963,0.18975503217651765,0.0,683.5467959333231,1.0
48.0,vehicle_specific_7030,605.4842376708984,0.205246857814684,0.493916808317105,593.6889651616415,1.0
48.0,vehicle_specific_7030_penalty_both,591.8975474039713,0.23590520510193516,0.5332882031798363,603.5163944666662,1.0
48.0,vehicle_specific_8020,666.9840189615885,0.15694190747196152,0.338938657194376,585.5551102161407,1.0
48.0,vehicle_specific_8020_penalty_both,636.7667439778646,0.20802440107176065,0.4208028499657909,659.2261074333315,1.0
48.0,vehicle_specific_9010,707.748545328776,0.13531355573284481,0.2688545531903704,644.1546760400137,1.0
48.0,vehicle_specific_9010_penalty_both,665.0509338378906,0.17142541000589673,0.26266714482335374,712.37437746668,1.0
