case_id,date,predicted_class,mission_duration_requested_h,strategy,scope,vehicle_id,w_STD,w_region,w_boundary,role_assignment,physical_run_id,prototype_based_maps,TEMPpred_used_as_objective,base_strategy,overlap_penalty_enabled,penalty_mode
C01_representative,2024-08-24,1,12.0,baseline_shared_STD,native_2auv_shared_map,fleet,1.0,0.0,0.0,shared_STD,C01_representative__multi_auv_12h__baseline_shared_STD,True,False,baseline_shared_STD,False,
C01_representative,2024-08-24,1,12.0,vehicle_specific_9010,vehicle_specific_proxy_1auv,1,0.9,0.1,0.0,AUV1=region_A;AUV2=region_B,C01_representative__proxy_12h__vehicle_specific_9010__AUV1_region_A,True,False,vehicle_specific_9010,False,
C01_representative,2024-08-24,1,12.0,vehicle_specific_9010_penalty_both,vehicle_specific_proxy_1auv_penalized,1,0.9,0.1,0.0,AUV1=region_A;AUV2=region_B,C01_representative__proxy_12h__vehicle_specific_9010_penalty_both__AUV1_region_A,True,False,vehicle_specific_9010,True,both
C01_representative,2024-08-24,1,12.0,vehicle_specific_9010,vehicle_specific_proxy_1auv,2,0.9,0.1,0.0,AUV1=region_A;AUV2=region_B,C01_representative__proxy_12h__vehicle_specific_9010__AUV2_region_B,True,False,vehicle_specific_9010,False,
C01_representative,2024-08-24,1,12.0,vehicle_specific_9010_penalty_both,vehicle_specific_proxy_1auv_penalized,2,0.9,0.1,0.0,AUV1=region_A;AUV2=region_B,C01_representative__proxy_12h__vehicle_specific_9010_penalty_both__AUV2_region_B,True,False,vehicle_specific_9010,True,both
C01_representative,2024-08-24,1,12.0,vehicle_specific_8020,vehicle_specific_proxy_1auv,1,0.8,0.2,0.0,AUV1=region_A;AUV2=region_B,C01_representative__proxy_12h__vehicle_specific_8020__AUV1_region_A,True,False,vehicle_specific_8020,False,
C01_representative,2024-08-24,1,12.0,vehicle_specific_8020_penalty_both,vehicle_specific_proxy_1auv_penalized,1,0.8,0.2,0.0,AUV1=region_A;AUV2=region_B,C01_representative__proxy_12h__vehicle_specific_8020_penalty_both__AUV1_region_A,True,False,vehicle_specific_8020,True,both
C01_representative,2024-08-24,1,12.0,vehicle_specific_8020,vehicle_specific_proxy_1auv,2,0.8,0.2,0.0,AUV1=region_A;AUV2=region_B,C01_representative__proxy_12h__vehicle_specific_8020__AUV2_region_B,True,False,vehicle_specific_8020,False,
C01_representative,2024-08-24,1,12.0,vehicle_specific_8020_penalty_both,vehicle_specific_proxy_1auv_penalized,2,0.8,0.2,0.0,AUV1=region_A;AUV2=region_B,C01_representative__proxy_12h__vehicle_specific_8020_penalty_both__AUV2_region_B,True,False,vehicle_specific_8020,True,both
C01_representative,2024-08-24,1,12.0,vehicle_specific_7030,vehicle_specific_proxy_1auv,1,0.7,0.3,0.0,AUV1=region_A;AUV2=region_B,C01_representative__proxy_12h__vehicle_specific_7030__AUV1_region_A,True,False,vehicle_specific_7030,False,
C01_representative,2024-08-24,1,12.0,vehicle_specific_7030_penalty_both,vehicle_specific_proxy_1auv_penalized,1,0.7,0.3,0.0,AUV1=region_A;AUV2=region_B,C01_representative__proxy_12h__vehicle_specific_7030_penalty_both__AUV1_region_A,True,False,vehicle_specific_7030,True,both
C01_representative,2024-08-24,1,12.0,vehicle_specific_7030,vehicle_specific_proxy_1auv,2,0.7,0.3,0.0,AUV1=region_A;AUV2=region_B,C01_representative__proxy_12h__vehicle_specific_7030__AUV2_region_B,True,False,vehicle_specific_7030,False,
