run_id,strategy,base_strategy,case_id,vehicle_id,mission_duration_requested_h,solver_status,solver_runtime,collected_STD,collected_region_A,collected_region_B,collected_boundary,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
C01_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C01_representative,1,12.0,REUSED,307.0359218120575,87.185546875,0.0,35.0,97.713134765625,0.0,0.2397260218858719,0.15753424167633057,0,1,37.641,10.883333333333333,146
C01_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C01_representative,2,12.0,REUSED,307.0359218120575,99.30781555175781,0.0,0.0,133.67852783203125,0.0,0.0,0.09756097197532654,0,0,37.287,10.8,164
C01_representative__proxy_12h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,vehicle_specific_9010,C01_representative,1,12.0,REUSED,301.4890103340149,95.42509460449219,0.0,7.0,105.55885314941406,0.0,0.04516129195690155,0.0,0,1,38.397,11.016666666666667,155
C01_representative__proxy_12h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,vehicle_specific_9010,C01_representative,2,12.0,REUSED,285.5714485645294,90.57058715820312,0.0,57.0,85.38114929199219,0.0,0.38255032896995544,0.0,0,1,37.557,10.866666666666667,149
C01_representative__proxy_12h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,vehicle_specific_8020,C01_representative,1,12.0,REUSED,280.6241319179535,91.56916046142578,0.0,56.0,85.73341369628906,0.0,0.3684210479259491,0.01315789483487606,0,1,37.098,10.716666666666667,152
C01_representative__proxy_12h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,vehicle_specific_8020,C01_representative,2,12.0,REUSED,249.80981016159058,90.60186767578125,0.0,72.0,79.12980651855469,0.0,0.47999998927116394,0.0,0,1,36.852,10.7,150
C01_representative__proxy_12h__vehicle_specific_8020_penalty_both__AUV1_region_A,vehicle_specific_8020_penalty_both,vehicle_specific_8020,C01_representative,1,12.0,SUCCESS,299.3606753999775,90.07405090332031,0.0,59.0,78.54965209960938,0.0,0.3986486494541168,0.0,0,1,37.368,10.816666666666666,148
C01_representative__proxy_12h__vehicle_specific_8020_penalty_both__AUV2_region_B,vehicle_specific_8020_penalty_both,vehicle_specific_8020,C01_representative,2,12.0,SUCCESS,297.53629970000475,85.05653381347656,0.0,89.0,85.95171356201172,0.0,0.5493826866149902,0.0,0,1,38.119,10.933333333333334,162
C01_representative__proxy_12h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,vehicle_specific_7030,C01_representative,1,12.0,REUSED,273.3740084171295,75.66423797607422,52.0,0.0,124.86854553222656,0.3466666638851166,0.0,0.006666666828095913,0,1,36.829,10.616666666666667,150
C01_representative__proxy_12h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,vehicle_specific_7030,C01_representative,2,12.0,REUSED,249.22498488426208,92.31534576416016,0.0,87.0,77.87401580810547,0.0,0.5612903237342834,0.0,0,1,37.275,10.766666666666667,155
C01_representative__proxy_12h__vehicle_specific_9010_penalty_both__AUV1_region_A,vehicle_specific_9010_penalty_both,vehicle_specific_9010,C01_representative,1,12.0,SUCCESS,312.0315962000168,95.42509460449219,0.0,7.0,105.55885314941406,0.0,0.04516129195690155,0.0,0,1,38.397,11.016666666666667,155
C01_representative__proxy_12h__vehicle_specific_9010_penalty_both__AUV2_region_B,vehicle_specific_9010_penalty_both,vehicle_specific_9010,C01_representative,2,12.0,SUCCESS,309.96158289999585,93.541015625,0.0,65.0,99.34848022460938,0.0,0.4037266969680786,0.11180124431848526,0,1,37.363,10.766666666666667,161
C06_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C06_representative,1,12.0,REUSED,326.3576309680939,84.24525451660156,70.0,0.0,120.55747985839844,0.43478259444236755,0.0,0.03105590119957924,0,1,37.349,10.8,161
C06_representative__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,C06_representative,2,12.0,REUSED,326.3576309680939,77.17230987548828,11.0,0.0,110.23660278320312,0.07189542800188065,0.0,0.2549019753932953,0,1,37.009,10.633333333333333,153
C06_representative__proxy_12h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,vehicle_specific_9010,C06_representative,1,12.0,REUSED,311.82094836235046,86.36795806884766,65.0,0.0,121.36992645263672,0.40123456716537476,0.0,0.0555555559694767,0,1,36.754,10.566666666666666,162
C06_representative__proxy_12h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,vehicle_specific_9010,C06_representative,2,12.0,REUSED,325.9032573699951,86.44187927246094,21.0,0.0,121.28638458251953,0.13291139900684357,0.0,0.2278480976819992,0,1,36.906,10.65,158
C01_representative__proxy_12h__vehicle_specific_7030_penalty_both__AUV1_region_A,vehicle_specific_7030_penalty_both,vehicle_specific_7030,C01_representative,1,12.0,SUCCESS,301.56269369999063,75.66423797607422,52.0,0.0,124.86854553222656,0.3466666638851166,0.0,0.006666666828095913,0,1,36.829,10.616666666666667,150
C01_representative__proxy_12h__vehicle_specific_7030_penalty_both__AUV2_region_B,vehicle_specific_7030_penalty_both,vehicle_specific_7030,C01_representative,2,12.0,SUCCESS,259.6677702999732,86.85090637207031,0.0,61.0,93.11512756347656,0.0,0.4039735198020935,0.0794702023267746,0,1,37.42,10.75,151
C06_representative__proxy_12h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,vehicle_specific_8020,C06_representative,1,12.0,REUSED,293.0745573043823,75.91587829589844,78.0,0.0,109.34381103515625,0.5270270109176636,0.0,0.03378378227353096,0,1,35.173,10.116666666666667,148
C06_representative__proxy_12h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,vehicle_specific_8020,C06_representative,2,12.0,REUSED,297.6867666244507,83.2635726928711,21.0,0.0,118.86865234375,0.1304347813129425,0.0,0.1304347813129425,0,1,36.965,10.583333333333334,161
C06_representative__proxy_12h__vehicle_specific_9010_penalty_both__AUV1_region_A,vehicle_specific_9010_penalty_both,vehicle_specific_9010,C06_representative,1,12.0,SUCCESS,332.38414170002216,86.36795806884766,65.0,0.0,121.36992645263672,0.40123456716537476,0.0,0.0555555559694767,0,1,36.754,10.566666666666666,162
C06_representative__proxy_12h__vehicle_specific_9010_penalty_both__AUV2_region_B,vehicle_specific_9010_penalty_both,vehicle_specific_9010,C06_representative,2,12.0,SUCCESS,345.8428807000164,74.73788452148438,46.0,0.0,104.73706817626953,0.3194444477558136,0.0,0.1041666641831398,0,1,36.27,10.433333333333334,144
C06_representative__proxy_12h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,vehicle_specific_7030,C06_representative,1,12.0,REUSED,274.6014144420624,75.39899444580078,75.0,0.0,106.516357421875,0.5244755148887634,0.0,0.03496503457427025,0,1,35.992,10.3,143
C06_representative__proxy_12h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,vehicle_specific_7030,C06_representative,2,12.0,REUSED,314.1399426460266,46.83312225341797,0.0,80.0,45.69751739501953,0.0,0.5755395889282227,0.0,0,1,36.388,10.5,139
C06_representative__proxy_12h__vehicle_specific_8020_penalty_both__AUV1_region_A,vehicle_specific_8020_penalty_both,vehicle_specific_8020,C06_representative,1,12.0,SUCCESS,297.128601400007,75.91587829589844,78.0,0.0,109.34381103515625,0.5270270109176636,0.0,0.03378378227353096,0,1,35.173,10.116666666666667,148
C06_representative__proxy_12h__vehicle_specific_8020_penalty_both__AUV2_region_B,vehicle_specific_8020_penalty_both,vehicle_specific_8020,C06_representative,2,12.0,SUCCESS,331.16573500001687,78.10694885253906,17.0,0.0,115.858154296875,0.1133333370089531,0.0,0.25999999046325684,0,1,36.166,10.416666666666666,150
October_control__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,October_control,1,12.0,REUSED,232.15893840789795,92.00331115722656,0.0,82.0,34.87681579589844,0.0,0.49696969985961914,0.0,0,1,39.218,11.2,165
October_control__multi_auv_12h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,October_control,2,12.0,REUSED,232.15893840789795,86.26296997070312,0.0,99.0,23.359596252441406,0.0,0.6689189076423645,0.0,0,1,36.881,10.65,148
October_control__proxy_12h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,vehicle_specific_9010,October_control,1,12.0,REUSED,245.1109583377838,93.55828094482422,0.0,104.0,26.713829040527344,0.0,0.6341463327407837,0.0,0,1,38.86,11.066666666666666,164
