day_index,date,image_idx_0_based,class_id,stage,config_name,seed,patch_w,patch_h,dictionary_size
1,2023-10-28,0,3,dictionary,dict2_patch40x24,11,40,24,2
2,2023-10-29,1,3,dictionary,dict2_patch40x24,11,40,24,2
3,2023-10-30,2,3,dictionary,dict2_patch40x24,11,40,24,2
4,2023-10-31,3,3,dictionary,dict2_patch40x24,11,40,24,2
5,2023-11-01,4,3,dictionary,dict2_patch40x24,11,40,24,2
6,2023-11-02,5,3,dictionary,dict2_patch40x24,11,40,24,2
7,2023-11-03,6,3,dictionary,dict2_patch40x24,11,40,24,2
8,2023-11-04,7,3,dictionary,dict2_patch40x24,11,40,24,2
9,2023-11-05,8,3,dictionary,dict2_patch40x24,11,40,24,2
10,2023-11-06,9,3,dictionary,dict2_patch40x24,11,40,24,2
11,2023-11-07,10,3,dictionary,dict2_patch40x24,11,40,24,2
12,2023-11-08,11,3,dictionary,dict2_patch40x24,11,40,24,2
13,2023-11-09,12,3,dictionary,dict2_patch40x24,11,40,24,2
14,2023-11-10,13,3,dictionary,dict2_patch40x24,11,40,24,2
15,2023-11-11,14,3,dictionary,dict2_patch40x24,11,40,24,2
16,2023-11-12,15,3,dictionary,dict2_patch40x24,11,40,24,2
17,2023-11-13,16,3,dictionary,dict2_patch40x24,11,40,24,2
18,2023-11-14,17,3,dictionary,dict2_patch40x24,11,40,24,2
19,2023-11-15,18,3,dictionary,dict2_patch40x24,11,40,24,2
20,2023-11-16,19,3,dictionary,dict2_patch40x24,11,40,24,2
21,2023-11-17,20,3,dictionary,dict2_patch40x24,11,40,24,2
22,2023-11-18,21,3,dictionary,dict2_patch40x24,11,40,24,2
23,2023-11-19,22,2,dictionary,dict2_patch40x24,11,40,24,2
24,2023-11-20,23,2,dictionary,dict2_patch40x24,11,40,24,2
25,2023-11-21,24,2,dictionary,dict2_patch40x24,11,40,24,2
26,2023-11-22,25,2,dictionary,dict2_patch40x24,11,40,24,2
27,2023-11-23,26,2,dictionary,dict2_patch40x24,11,40,24,2
28,2023-11-24,27,2,dictionary,dict2_patch40x24,11,40,24,2
29,2023-11-25,28,2,dictionary,dict2_patch40x24,11,40,24,2
30,2023-11-26,29,2,dictionary,dict2_patch40x24,11,40,24,2
31,2023-11-27,30,2,dictionary,dict2_patch40x24,11,40,24,2
32,2023-11-28,31,2,dictionary,dict2_patch40x24,11,40,24,2
33,2023-11-29,32,2,dictionary,dict2_patch40x24,11,40,24,2
34,2023-11-30,33,2,dictionary,dict2_patch40x24,11,40,24,2
35,2023-12-01,34,2,dictionary,dict2_patch40x24,11,40,24,2
36,2023-12-02,35,2,dictionary,dict2_patch40x24,11,40,24,2
37,2023-12-03,36,2,dictionary,dict2_patch40x24,11,40,24,2
38,2023-12-04,37,2,dictionary,dict2_patch40x24,11,40,24,2
39,2023-12-05,38,2,dictionary,dict2_patch40x24,11,40,24,2
40,2023-12-06,39,2,dictionary,dict2_patch40x24,11,40,24,2
41,2023-12-07,40,2,dictionary,dict2_patch40x24,11,40,24,2
42,2023-12-08,41,2,dictionary,dict2_patch40x24,11,40,24,2
43,2023-12-09,42,2,dictionary,dict2_patch40x24,11,40,24,2
44,2023-12-10,43,2,dictionary,dict2_patch40x24,11,40,24,2
45,2023-12-11,44,2,dictionary,dict2_patch40x24,11,40,24,2
46,2023-12-12,45,2,dictionary,dict2_patch40x24,11,40,24,2
47,2023-12-13,46,2,dictionary,dict2_patch40x24,11,40,24,2
48,2023-12-14,47,2,dictionary,dict2_patch40x24,11,40,24,2
49,2023-12-15,48,1,dictionary,dict2_patch40x24,11,40,24,2
50,2023-12-16,49,1,dictionary,dict2_patch40x24,11,40,24,2
51,2023-12-17,50,1,dictionary,dict2_patch40x24,11,40,24,2
52,2023-12-18,51,1,dictionary,dict2_patch40x24,11,40,24,2
53,2023-12-19,52,1,dictionary,dict2_patch40x24,11,40,24,2
54,2023-12-20,53,1,dictionary,dict2_patch40x24,11,40,24,2
55,2023-12-21,54,1,dictionary,dict2_patch40x24,11,40,24,2
56,2023-12-22,55,1,dictionary,dict2_patch40x24,11,40,24,2
57,2023-12-23,56,1,dictionary,dict2_patch40x24,11,40,24,2
58,2023-12-24,57,1,dictionary,dict2_patch40x24,11,40,24,2
59,2023-12-25,58,1,dictionary,dict2_patch40x24,11,40,24,2
60,2023-12-26,59,1,dictionary,dict2_patch40x24,11,40,24,2
61,2023-12-27,60,1,dictionary,dict2_patch40x24,11,40,24,2
62,2023-12-28,61,1,dictionary,dict2_patch40x24,11,40,24,2
63,2023-12-29,62,1,dictionary,dict2_patch40x24,11,40,24,2
64,2023-12-30,63,1,dictionary,dict2_patch40x24,11,40,24,2
65,2023-12-31,64,1,dictionary,dict2_patch40x24,11,40,24,2
66,2024-01-01,65,1,dictionary,dict2_patch40x24,11,40,24,2
67,2024-01-02,66,1,dictionary,dict2_patch40x24,11,40,24,2
68,2024-01-03,67,1,dictionary,dict2_patch40x24,11,40,24,2
69,2024-01-04,68,1,dictionary,dict2_patch40x24,11,40,24,2
70,2024-01-05,69,1,dictionary,dict2_patch40x24,11,40,24,2
71,2024-01-06,70,1,dictionary,dict2_patch40x24,11,40,24,2
72,2024-01-07,71,1,dictionary,dict2_patch40x24,11,40,24,2
73,2024-01-08,72,1,dictionary,dict2_patch40x24,11,40,24,2
74,2024-01-09,73,1,dictionary,dict2_patch40x24,11,40,24,2
75,2024-01-10,74,1,dictionary,dict2_patch40x24,11,40,24,2
76,2024-01-11,75,1,dictionary,dict2_patch40x24,11,40,24,2
77,2024-01-12,76,1,dictionary,dict2_patch40x24,11,40,24,2
78,2024-01-13,77,1,dictionary,dict2_patch40x24,11,40,24,2
79,2024-01-14,78,1,dictionary,dict2_patch40x24,11,40,24,2
80,2024-01-15,79,1,dictionary,dict2_patch40x24,11,40,24,2
81,2024-01-16,80,1,dictionary,dict2_patch40x24,11,40,24,2
82,2024-01-17,81,1,dictionary,dict2_patch40x24,11,40,24,2
83,2024-01-18,82,1,dictionary,dict2_patch40x24,11,40,24,2
84,2024-01-19,83,1,dictionary,dict2_patch40x24,11,40,24,2
85,2024-01-20,84,1,dictionary,dict2_patch40x24,11,40,24,2
86,2024-01-21,85,1,dictionary,dict2_patch40x24,11,40,24,2
87,2024-01-22,86,1,dictionary,dict2_patch40x24,11,40,24,2
88,2024-01-23,87,1,dictionary,dict2_patch40x24,11,40,24,2
89,2024-01-24,88,1,dictionary,dict2_patch40x24,11,40,24,2
90,2024-01-25,89,1,dictionary,dict2_patch40x24,11,40,24,2
91,2024-01-26,90,1,dictionary,dict2_patch40x24,11,40,24,2
92,2024-01-27,91,1,dictionary,dict2_patch40x24,11,40,24,2
93,2024-01-28,92,1,dictionary,dict2_patch40x24,11,40,24,2
94,2024-01-29,93,1,dictionary,dict2_patch40x24,11,40,24,2
95,2024-01-30,94,1,dictionary,dict2_patch40x24,11,40,24,2
96,2024-01-31,95,1,dictionary,dict2_patch40x24,11,40,24,2
97,2024-02-01,96,1,dictionary,dict2_patch40x24,11,40,24,2
98,2024-02-02,97,1,dictionary,dict2_patch40x24,11,40,24,2
99,2024-02-03,98,1,dictionary,dict2_patch40x24,11,40,24,2
100,2024-02-04,99,1,dictionary,dict2_patch40x24,11,40,24,2
101,2024-02-05,100,1,dictionary,dict2_patch40x24,11,40,24,2
102,2024-02-06,101,1,dictionary,dict2_patch40x24,11,40,24,2
103,2024-02-07,102,1,dictionary,dict2_patch40x24,11,40,24,2
104,2024-02-08,103,1,dictionary,dict2_patch40x24,11,40,24,2
105,2024-02-09,104,1,dictionary,dict2_patch40x24,11,40,24,2
106,2024-02-10,105,1,dictionary,dict2_patch40x24,11,40,24,2
107,2024-02-11,106,1,dictionary,dict2_patch40x24,11,40,24,2
108,2024-02-12,107,1,dictionary,dict2_patch40x24,11,40,24,2
109,2024-02-13,108,1,dictionary,dict2_patch40x24,11,40,24,2
110,2024-02-14,109,1,dictionary,dict2_patch40x24,11,40,24,2
111,2024-02-15,110,1,dictionary,dict2_patch40x24,11,40,24,2
112,2024-02-16,111,1,dictionary,dict2_patch40x24,11,40,24,2
113,2024-02-17,112,1,dictionary,dict2_patch40x24,11,40,24,2
114,2024-02-18,113,1,dictionary,dict2_patch40x24,11,40,24,2
115,2024-02-19,114,1,dictionary,dict2_patch40x24,11,40,24,2
116,2024-02-20,115,1,dictionary,dict2_patch40x24,11,40,24,2
117,2024-02-21,116,1,dictionary,dict2_patch40x24,11,40,24,2
118,2024-02-22,117,1,dictionary,dict2_patch40x24,11,40,24,2
119,2024-02-23,118,1,dictionary,dict2_patch40x24,11,40,24,2
120,2024-02-24,119,1,dictionary,dict2_patch40x24,11,40,24,2
121,2024-02-25,120,1,dictionary,dict2_patch40x24,11,40,24,2
122,2024-02-26,121,1,dictionary,dict2_patch40x24,11,40,24,2
123,2024-02-27,122,4,dictionary,dict2_patch40x24,11,40,24,2
124,2024-02-28,123,4,dictionary,dict2_patch40x24,11,40,24,2
125,2024-02-29,124,4,dictionary,dict2_patch40x24,11,40,24,2
126,2024-03-01,125,4,dictionary,dict2_patch40x24,11,40,24,2
127,2024-03-02,126,4,dictionary,dict2_patch40x24,11,40,24,2
128,2024-03-03,127,4,dictionary,dict2_patch40x24,11,40,24,2
129,2024-03-04,128,4,dictionary,dict2_patch40x24,11,40,24,2
130,2024-03-05,129,4,dictionary,dict2_patch40x24,11,40,24,2
131,2024-03-06,130,4,dictionary,dict2_patch40x24,11,40,24,2
132,2024-03-07,131,4,dictionary,dict2_patch40x24,11,40,24,2
133,2024-03-08,132,4,dictionary,dict2_patch40x24,11,40,24,2
134,2024-03-09,133,4,dictionary,dict2_patch40x24,11,40,24,2
135,2024-03-10,134,4,dictionary,dict2_patch40x24,11,40,24,2
136,2024-03-11,135,4,dictionary,dict2_patch40x24,11,40,24,2
137,2024-03-12,136,4,dictionary,dict2_patch40x24,11,40,24,2
138,2024-03-13,137,4,dictionary,dict2_patch40x24,11,40,24,2
139,2024-03-14,138,4,dictionary,dict2_patch40x24,11,40,24,2
140,2024-03-15,139,4,dictionary,dict2_patch40x24,11,40,24,2
141,2024-03-16,140,4,dictionary,dict2_patch40x24,11,40,24,2
142,2024-03-17,141,4,dictionary,dict2_patch40x24,11,40,24,2
143,2024-03-18,142,4,dictionary,dict2_patch40x24,11,40,24,2
144,2024-03-19,143,4,dictionary,dict2_patch40x24,11,40,24,2
145,2024-03-20,144,4,dictionary,dict2_patch40x24,11,40,24,2
