day_index,date,png_path,clean_png_path,valid_cells,nan_cells,temp_min,temp_max,temp_mean,temp_std
1,2023-10-28,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily\0001_2023-10-28_thetao_surface_hres_paper_roi_x490.png,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily_clean\0001_2023-10-28_thetao_surface_hres_paper_roi_x490_clean.png,8004,420,19.588300704956055,20.029382705688477,19.80711555480957,0.08699387311935425
2,2023-10-29,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily\0002_2023-10-29_thetao_surface_hres_paper_roi_x490.png,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily_clean\0002_2023-10-29_thetao_surface_hres_paper_roi_x490_clean.png,8004,420,19.449548721313477,19.945405960083008,19.682327270507812,0.08540263772010803
3,2023-10-30,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily\0003_2023-10-30_thetao_surface_hres_paper_roi_x490.png,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily_clean\0003_2023-10-30_thetao_surface_hres_paper_roi_x490_clean.png,8004,420,19.31549072265625,19.809146881103516,19.57306671142578,0.08336687088012695
4,2023-10-31,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily\0004_2023-10-31_thetao_surface_hres_paper_roi_x490.png,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily_clean\0004_2023-10-31_thetao_surface_hres_paper_roi_x490_clean.png,8004,420,19.17238426208496,19.696081161499023,19.474340438842773,0.09799861162900925
5,2023-11-01,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily\0005_2023-11-01_thetao_surface_hres_paper_roi_x490.png,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily_clean\0005_2023-11-01_thetao_surface_hres_paper_roi_x490_clean.png,8004,420,19.196819305419922,19.63736343383789,19.445703506469727,0.0838065817952156
6,2023-11-02,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily\0006_2023-11-02_thetao_surface_hres_paper_roi_x490.png,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily_clean\0006_2023-11-02_thetao_surface_hres_paper_roi_x490_clean.png,8004,420,19.20433235168457,19.5743350982666,19.38654899597168,0.05966643989086151
7,2023-11-03,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily\0007_2023-11-03_thetao_surface_hres_paper_roi_x490.png,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily_clean\0007_2023-11-03_thetao_surface_hres_paper_roi_x490_clean.png,8004,420,19.06268310546875,19.380430221557617,19.201152801513672,0.06172776222229004
8,2023-11-04,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily\0008_2023-11-04_thetao_surface_hres_paper_roi_x490.png,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily_clean\0008_2023-11-04_thetao_surface_hres_paper_roi_x490_clean.png,8004,420,18.951200485229492,19.270366668701172,19.127845764160156,0.07508105784654617
9,2023-11-05,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily\0009_2023-11-05_thetao_surface_hres_paper_roi_x490.png,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily_clean\0009_2023-11-05_thetao_surface_hres_paper_roi_x490_clean.png,8004,420,18.778833389282227,19.13529396057129,19.00946807861328,0.059597164392471313
10,2023-11-06,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily\0010_2023-11-06_thetao_surface_hres_paper_roi_x490.png,C:\Users\pedro\Documents\Filipa_dados\results\fresnel_paper_roi_x490_surface_370_20260509_180348\png_paper_roi_x490_daily_clean\0010_2023-11-06_thetao_surface_hres_paper_roi_x490_clean.png,8004,420,18.6096134185791,19.094501495361328,18.897127151489258,0.08184704929590225
