z,filepath,x_index_min,x_index_max,y_index_min,y_index_max,mean_temp,std_temp,min_temp,max_temp,missing_fraction
1,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z001.png,1.0,112.0,1.0,64.0,15.953943252563477,0.23273752629756927,15.475000381469727,16.395000457763672,0.033900669642857095
2,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z002.png,1.0,112.0,1.0,64.0,15.972627639770508,0.19350378215312958,15.49813461303711,16.391000747680664,0.033900669642857095
3,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z003.png,1.0,112.0,1.0,64.0,15.978999137878418,0.20565292239189148,15.461504936218262,16.465999603271484,0.033900669642857095
4,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z004.png,1.0,112.0,1.0,64.0,15.890206336975098,0.20520731806755066,15.441514015197754,16.2189998626709,0.033900669642857095
5,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z005.png,1.0,112.0,1.0,64.0,15.686123847961426,0.2870900332927704,15.194999694824219,16.06873893737793,0.033900669642857095
6,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z006.png,1.0,112.0,1.0,64.0,15.533868789672852,0.3715968132019043,14.859999656677246,16.08300018310547,0.033900669642857095
7,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z007.png,1.0,112.0,1.0,64.0,15.492725372314453,0.34120261669158936,14.880999565124512,16.03499984741211,0.033900669642857095
8,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z008.png,1.0,112.0,1.0,64.0,15.515904426574707,0.27943888306617737,14.970000267028809,15.941793441772461,0.033900669642857095
9,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z009.png,1.0,112.0,1.0,64.0,15.536433219909668,0.2517634928226471,14.944000244140625,16.121000289916992,0.033900669642857095
10,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z010.png,1.0,112.0,1.0,64.0,15.530369758605957,0.28337791562080383,14.899999618530273,16.395999908447266,0.033900669642857095
11,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z011.png,1.0,112.0,1.0,64.0,15.600606918334961,0.28543809056282043,15.011242866516113,16.31100082397461,0.033900669642857095
12,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z012.png,1.0,112.0,1.0,64.0,15.77361011505127,0.19214212894439697,15.446999549865723,16.34600067138672,0.033900669642857095
13,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z013.png,1.0,112.0,1.0,64.0,15.899148941040039,0.286550372838974,15.501774787902832,16.656999588012695,0.033900669642857095
14,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z014.png,1.0,112.0,1.0,64.0,16.015789031982422,0.3558337390422821,15.464080810546875,16.785999298095703,0.033900669642857095
15,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z015.png,1.0,112.0,1.0,64.0,16.112003326416016,0.3107532560825348,15.508378982543945,16.674999237060547,0.033900669642857095
16,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z016.png,1.0,112.0,1.0,64.0,16.167949676513672,0.268352746963501,15.544622421264648,16.586999893188477,0.033900669642857095
17,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z017.png,1.0,112.0,1.0,64.0,16.227527618408203,0.2690616846084595,15.588784217834473,16.600000381469727,0.033900669642857095
18,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z018.png,1.0,112.0,1.0,64.0,16.107200622558594,0.2904980480670929,15.564621925354004,16.500558853149414,0.033900669642857095
19,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z019.png,1.0,112.0,1.0,64.0,15.894368171691895,0.3125532567501068,15.359000205993652,16.40999984741211,0.033900669642857095
20,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z020.png,1.0,112.0,1.0,64.0,15.766766548156738,0.3347212076187134,15.163999557495117,16.336000442504883,0.033900669642857095
21,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z021.png,1.0,112.0,1.0,64.0,15.798835754394531,0.2999671399593353,15.317000389099121,16.29199981689453,0.033900669642857095
22,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z022.png,1.0,112.0,1.0,64.0,15.910608291625977,0.2663663923740387,15.513324737548828,16.320999145507812,0.033900669642857095
23,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z023.png,1.0,112.0,1.0,64.0,15.928460121154785,0.2560245990753174,15.456000328063965,16.309307098388672,0.033900669642857095
24,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z024.png,1.0,112.0,1.0,64.0,15.952919960021973,0.2552812695503235,15.39799976348877,16.278955459594727,0.033900669642857095
25,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z025.png,1.0,112.0,1.0,64.0,15.896963119506836,0.20681288838386536,15.440999984741211,16.211000442504883,0.033900669642857095
26,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z026.png,1.0,112.0,1.0,64.0,15.89677906036377,0.17428268492221832,15.368125915527344,16.180999755859375,0.033900669642857095
27,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z027.png,1.0,112.0,1.0,64.0,15.942090034484863,0.1323532611131668,15.394891738891602,16.139999389648438,0.033900669642857095
28,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z028.png,1.0,112.0,1.0,64.0,15.955772399902344,0.10671038925647736,15.449963569641113,16.204999923706055,0.033900669642857095
29,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z029.png,1.0,112.0,1.0,64.0,15.956583976745605,0.06834972649812698,15.719684600830078,16.16699981689453,0.033900669642857095
30,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z030.png,1.0,112.0,1.0,64.0,15.883220672607422,0.09108662605285645,15.674298286437988,16.108999252319336,0.033900669642857095
31,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z031.png,1.0,112.0,1.0,64.0,15.788249015808105,0.09876082092523575,15.607000350952148,16.04599952697754,0.033900669642857095
32,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z032.png,1.0,112.0,1.0,64.0,15.760424613952637,0.19984693825244904,15.51200008392334,16.594999313354492,0.033900669642857095
33,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z033.png,1.0,112.0,1.0,64.0,15.925315856933594,0.3170565068721771,15.545999526977539,16.649999618530273,0.033900669642857095
34,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z034.png,1.0,112.0,1.0,64.0,16.004562377929688,0.38384243845939636,15.498891830444336,16.648820877075195,0.033900669642857095
35,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z035.png,1.0,112.0,1.0,64.0,16.0097599029541,0.37441134452819824,15.432999610900879,16.598766326904297,0.033900669642857095
36,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z036.png,1.0,112.0,1.0,64.0,16.129514694213867,0.28643256425857544,15.560999870300293,16.569000244140625,0.033900669642857095
37,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z037.png,1.0,112.0,1.0,64.0,16.240610122680664,0.17469504475593567,15.855999946594238,16.569000244140625,0.033900669642857095
38,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z038.png,1.0,112.0,1.0,64.0,16.187244415283203,0.11682027578353882,15.908378601074219,16.430999755859375,0.033900669642857095
39,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z039.png,1.0,112.0,1.0,64.0,16.166696548461914,0.10246895998716354,15.943891525268555,16.499000549316406,0.033900669642857095
40,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z040.png,1.0,112.0,1.0,64.0,16.111207962036133,0.12722750008106232,15.833595275878906,16.45800018310547,0.033900669642857095
41,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z041.png,1.0,112.0,1.0,64.0,16.058828353881836,0.1490989774465561,15.73799991607666,16.38599967956543,0.033900669642857095
42,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z042.png,1.0,112.0,1.0,64.0,16.185504913330078,0.15485744178295135,15.878271102905273,16.492000579833984,0.033900669642857095
43,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z043.png,1.0,112.0,1.0,64.0,16.22184944152832,0.1675289422273636,15.928594589233398,16.530000686645508,0.033900669642857095
