z,filepath,x_km_min,x_km_max,y_km_min,y_km_max,mean_norm,std_norm,min_norm,max_norm,x_axis_label,y_axis_label,unit_tag,figure_tag,georef_note
1,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z001.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.5414977073669434,0.08635516464710236,-0.76242595911026,-0.39312097430229187,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
2,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z002.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.47984549403190613,0.07610242068767548,-0.5743425488471985,-0.20822429656982422,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
3,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z003.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.44336289167404175,0.10090246051549911,-0.5509321093559265,-0.15255823731422424,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
4,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z004.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.5034923553466797,0.048449546098709106,-0.5689197778701782,-0.33588775992393494,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
5,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z005.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.6096439361572266,0.10600847005844116,-0.8947837948799133,-0.47570908069610596,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
6,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z006.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.730944037437439,0.1986706703901291,-1.0788019895553589,-0.4822976887226105,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
7,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z007.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.7895057797431946,0.1745195835828781,-1.118882179260254,-0.5385335683822632,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
8,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z008.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.8293481469154358,0.11578956991434097,-1.00542151927948,-0.5893650650978088,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
9,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z009.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.7896585464477539,0.107994444668293,-0.9502289891242981,-0.4086255431175232,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
10,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z010.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.7067562341690063,0.1607961505651474,-0.9319617748260498,-0.2045138031244278,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
11,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z011.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.5822619199752808,0.1881808042526245,-0.9147364497184753,-0.2676022946834564,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
12,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z012.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.6302344799041748,0.14387352764606476,-0.879737913608551,-0.26183053851127625,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
13,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z013.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.4989568591117859,0.19930236041545868,-0.8198389410972595,-0.02415296621620655,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
14,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z014.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.32936882972717285,0.1508951634168625,-0.7036502957344055,-0.032046813517808914,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
15,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z015.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.31075289845466614,0.10859370231628418,-0.6357400417327881,-0.15159274637699127,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
16,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z016.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.254745215177536,0.10529743880033493,-0.5170038342475891,-0.0627487301826477,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
17,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z017.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.16496753692626953,0.07939920574426651,-0.40419304370880127,-0.05441885069012642,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
18,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z018.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.27318790555000305,0.13550631701946259,-0.6691805720329285,-0.12690748274326324,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
19,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z019.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.4885762929916382,0.21085232496261597,-0.8016035556793213,-0.19412268698215485,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
20,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z020.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.6279559135437012,0.21595023572444916,-0.884813129901886,-0.2490469366312027,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
21,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z021.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.5857011079788208,0.17909952998161316,-0.9119213223457336,-0.29209643602371216,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
22,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z022.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.4398336708545685,0.13360251486301422,-0.7961078882217407,-0.27650976181030273,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
23,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z023.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.43993693590164185,0.11719119548797607,-0.7385483384132385,-0.2915075123310089,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
24,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z024.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.38709941506385803,0.0759972333908081,-0.6594314575195312,-0.2913871705532074,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
25,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z025.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.44305935502052307,0.08257646858692169,-0.7134793996810913,-0.3449821174144745,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
26,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z026.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.46474888920783997,0.061565231531858444,-0.6471872329711914,-0.36607152223587036,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
27,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z027.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.4653140604496002,0.032513804733753204,-0.5524702668190002,-0.4000479280948639,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
28,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z028.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.4873550236225128,0.021789131686091423,-0.5470616221427917,-0.429325670003891,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
29,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z029.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.5256912708282471,0.023859724402427673,-0.6148105263710022,-0.476167768239975,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
30,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z030.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.580290675163269,0.037959299981594086,-0.6753182411193848,-0.4887857437133789,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
31,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z031.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.6102806925773621,0.07344432920217514,-0.747374415397644,-0.4642930328845978,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
32,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z032.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.6045218706130981,0.22616569697856903,-0.8540078997612,-0.05681135505437851,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
33,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z033.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.37059101462364197,0.2463570237159729,-0.7352448105812073,-0.017479436472058296,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
34,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z034.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.3519055247306824,0.21257008612155914,-0.7224265336990356,-0.03619901090860367,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
35,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z035.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.42287003993988037,0.1527073085308075,-0.766251802444458,-0.1972966492176056,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
36,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z036.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.38027223944664,0.06616389006376266,-0.6182075142860413,-0.25013700127601624,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
37,results/plots/tempibhres_relative_km_display_assumed_filipa_xy_km_cropped_v1/pngs_normalized_surface_300_thesis_relative_km_display_assumed/X_surface_norm_z037.png,462.0,492.6393868948385,4376.0,4396.805363199146,-0.3526044487953186,0.02906719222664833,-0.42926761507987976,-0.2838500738143921,x,y,km,a),Relative-km axes are display-derived from local HRes bounding-box mapping and are not independently verified native georeferencing of tempIBHRes.
