date,expected_filename,file_found,path,variables,dimensions,STD_shape,TEMPpred_shape,LAT_shape,LON_shape,BATHY_shape,STD_dims,TEMPpred_dims,day_values,time_values,depth_value_m
2024-10-01,01-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20240930\01-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1726531200.0, 1726617600.0, 1726704000.0, 1726790400.0, 1726876800.0, 1726963200.0, 1727049600.0, 1727136000.0, 1727222400.0, 1727308800.0, 1727395200.0, 1727481600.0, 1727568000.0, 1727654400.0]",0.4940253794193268
2024-10-02,02-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241001\02-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1726617600.0, 1726704000.0, 1726790400.0, 1726876800.0, 1726963200.0, 1727049600.0, 1727136000.0, 1727222400.0, 1727308800.0, 1727395200.0, 1727481600.0, 1727568000.0, 1727654400.0, 1727740800.0]",0.4940253794193268
2024-10-03,03-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241002\03-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1726704000.0, 1726790400.0, 1726876800.0, 1726963200.0, 1727049600.0, 1727136000.0, 1727222400.0, 1727308800.0, 1727395200.0, 1727481600.0, 1727568000.0, 1727654400.0, 1727740800.0, 1727827200.0]",0.4940253794193268
2024-10-04,04-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241003\04-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1726790400.0, 1726876800.0, 1726963200.0, 1727049600.0, 1727136000.0, 1727222400.0, 1727308800.0, 1727395200.0, 1727481600.0, 1727568000.0, 1727654400.0, 1727740800.0, 1727827200.0, 1727913600.0]",0.4940253794193268
2024-10-05,05-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241004\05-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1726876800.0, 1726963200.0, 1727049600.0, 1727136000.0, 1727222400.0, 1727308800.0, 1727395200.0, 1727481600.0, 1727568000.0, 1727654400.0, 1727740800.0, 1727827200.0, 1727913600.0, 1728000000.0]",0.4940253794193268
2024-10-06,06-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241005\06-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1726963200.0, 1727049600.0, 1727136000.0, 1727222400.0, 1727308800.0, 1727395200.0, 1727481600.0, 1727568000.0, 1727654400.0, 1727740800.0, 1727827200.0, 1727913600.0, 1728000000.0, 1728086400.0]",0.4940253794193268
2024-10-07,07-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241006\07-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1727049600.0, 1727136000.0, 1727222400.0, 1727308800.0, 1727395200.0, 1727481600.0, 1727568000.0, 1727654400.0, 1727740800.0, 1727827200.0, 1727913600.0, 1728000000.0, 1728086400.0, 1728172800.0]",0.4940253794193268
2024-10-08,08-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241007\08-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1727136000.0, 1727222400.0, 1727308800.0, 1727395200.0, 1727481600.0, 1727568000.0, 1727654400.0, 1727740800.0, 1727827200.0, 1727913600.0, 1728000000.0, 1728086400.0, 1728172800.0, 1728259200.0]",0.4940253794193268
2024-10-09,09-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241008\09-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1727222400.0, 1727308800.0, 1727395200.0, 1727481600.0, 1727568000.0, 1727654400.0, 1727740800.0, 1727827200.0, 1727913600.0, 1728000000.0, 1728086400.0, 1728172800.0, 1728259200.0, 1728345600.0]",0.4940253794193268
2024-10-10,10-10-2024_predModel_1.nc,True,C:\Users\pedro\Documents\Filipa_dados\data\dadosParaPedro_Fresnel\02.Simulations\HighRes\Daily_dpt_20241009\10-10-2024_predModel_1.nc,TEMP;LAT;LON;BATHY;DEPT;TIME;STD;TEMPpred,"{""DEPT"": 17, ""LAT"": 180, ""LON"": 240, ""TIME"": 14, ""day"": 2, ""depth"": 17, ""lat"": 180, ""lon"": 240, ""seconds since 1970-01-01"": 14}","(2, 180, 240)","(2, 180, 240)","(180,)","(240,)","(180, 240)","('day', 'LAT', 'LON')","('day', 'LAT', 'LON')",[],"[1727308800.0, 1727395200.0, 1727481600.0, 1727568000.0, 1727654400.0, 1727740800.0, 1727827200.0, 1727913600.0, 1728000000.0, 1728086400.0, 1728172800.0, 1728259200.0, 1728345600.0, 1728432000.0]",0.4940253794193268
